algo,M,N,K,ms,gflops,valid
naive 16x16,256,256,256,0.19456,172.463,yes
shared 32x8 tk32,256,256,256,0.060416,555.39,yes
vectorized 32x8,256,256,256,0.155392,215.934,yes
vec-opt 64x64,256,256,256,0.16768,200.11,yes
tensorcore wmma16,256,256,256,0.150528,222.912,yes
naive 16x16,512,512,512,0.110592,2427.26,yes
shared 32x8 tk32,512,512,512,0.130048,2064.13,yes
vectorized 32x8,512,512,512,0.154496,1737.49,yes
vec-opt 64x64,512,512,512,0.043008,6241.52,yes
tensorcore wmma16,512,512,512,0.083968,3196.88,yes
naive 16x16,1024,1024,1024,1.04669,2051.69,yes
shared 32x8 tk32,1024,1024,1024,0.933888,2299.51,yes
vectorized 32x8,1024,1024,1024,0.869376,2470.14,yes
vec-opt 64x64,1024,1024,1024,0.154624,13888.4,yes
tensorcore wmma16,1024,1024,1024,0.44544,4821.04,yes
naive 16x16,2048,2048,2048,6.49216,2646.25,yes
shared 32x8 tk32,2048,2048,2048,7.80698,2200.58,yes
vectorized 32x8,2048,2048,2048,8.06,2131.5,yes
vec-opt 64x64,2048,2048,2048,1.04227,16483.1,yes
tensorcore wmma16,2048,2048,2048,3.79597,4525.82,yes
naive 16x16,4096,4096,4096,56.6589,2425.72,yes
shared 32x8 tk32,4096,4096,4096,59.9009,2294.44,yes
vectorized 32x8,4096,4096,4096,54.4266,2525.22,yes
vec-opt 64x64,4096,4096,4096,7.73939,17758.4,yes
tensorcore wmma16,4096,4096,4096,30.5234,4502.74,yes
naive 16x16,256,256,256,0.080896,414.785,yes
shared 32x8 tk32,256,256,256,0.123904,270.81,yes
vectorized 32x8,256,256,256,0.15648,214.433,yes
vec-opt 64x64,256,256,256,0.130016,258.079,yes
tensorcore wmma16,256,256,256,0.139264,240.941,yes
naive 16x16,512,512,512,0.110592,2427.26,yes
shared 32x8 tk32,512,512,512,0.134144,2001.1,yes
vectorized 32x8,512,512,512,0.156672,1713.36,yes
vec-opt 64x64,512,512,512,0.044032,6096.37,yes
tensorcore wmma16,512,512,512,0.080896,3318.28,yes
naive 16x16,1024,1024,1024,1.07622,1995.39,yes
shared 32x8 tk32,1024,1024,1024,0.935936,2294.48,yes
vectorized 32x8,1024,1024,1024,0.872448,2461.45,yes
vec-opt 64x64,1024,1024,1024,0.152576,14074.8,yes
tensorcore wmma16,1024,1024,1024,0.45056,4766.25,yes
naive 16x16,2048,2048,2048,6.64269,2586.28,yes
shared 32x8 tk32,2048,2048,2048,8.14189,2110.06,yes
vectorized 32x8,2048,2048,2048,7.01235,2449.94,yes
vec-opt 64x64,2048,2048,2048,1.04234,16482.1,yes
tensorcore wmma16,2048,2048,2048,4.11456,4175.38,yes
naive 16x16,4096,4096,4096,53.3821,2574.62,yes
shared 32x8 tk32,4096,4096,4096,62.378,2203.32,yes
vectorized 32x8,4096,4096,4096,53.1323,2586.73,yes
vec-opt 64x64,4096,4096,4096,7.74758,17739.6,yes
tensorcore wmma16,4096,4096,4096,33.2913,4128.38,yes
naive 16x16,256,256,256,0.146432,229.147,yes
shared 32x8 tk32,256,256,256,0.135168,248.242,yes
vectorized 32x8,256,256,256,0.131072,256,yes
vec-opt 64x64,256,256,256,0.177152,189.41,yes
tensorcore wmma16,256,256,256,0.069632,481.882,yes
naive 16x16,512,512,512,0.111616,2404.99,yes
shared 32x8 tk32,512,512,512,0.125952,2131.25,yes
vectorized 32x8,512,512,512,0.156672,1713.36,yes
vec-opt 64x64,512,512,512,0.04608,5825.42,yes
tensorcore wmma16,512,512,512,0.084992,3158.36,yes
naive 16x16,1024,1024,1024,0.804864,2668.13,yes
shared 32x8 tk32,1024,1024,1024,1.21139,1772.74,yes
vectorized 32x8,1024,1024,1024,0.873472,2458.56,yes
vec-opt 64x64,1024,1024,1024,0.151552,14169.9,yes
tensorcore wmma16,1024,1024,1024,0.452416,4746.7,yes
naive 16x16,2048,2048,2048,6.70106,2563.76,yes
shared 32x8 tk32,2048,2048,2048,8.08448,2125.04,yes
vectorized 32x8,2048,2048,2048,6.94477,2473.79,yes
vec-opt 64x64,2048,2048,2048,1.04141,16496.8,yes
tensorcore wmma16,2048,2048,2048,4.08781,4202.71,yes
naive 16x16,4096,4096,4096,52.4751,2619.13,yes
shared 32x8 tk32,4096,4096,4096,61.0294,2252.01,yes
vectorized 32x8,4096,4096,4096,56.3651,2438.37,yes
vec-opt 64x64,4096,4096,4096,8.16333,16836.1,yes
tensorcore wmma16,4096,4096,4096,31.6377,4344.15,yes
