algo,M,N,K,ms,gflops,valid
naive 16x16,256,256,256,0.197632,169.782,yes
shared 32x8 tk32,256,256,256,0.152384,220.197,yes
vectorized 32x8,256,256,256,0.194592,172.435,yes
vec-opt 64x64,256,256,256,0.153856,218.09,yes
tensorcore wmma16,256,256,256,0.180192,186.215,yes
naive 16x16,512,512,512,0.119808,2240.55,yes
shared 32x8 tk32,512,512,512,0.13824,1941.81,yes
vectorized 32x8,512,512,512,0.191488,1401.84,yes
vec-opt 64x64,512,512,512,0.041984,6393.76,yes
tensorcore wmma16,512,512,512,0.083968,3196.88,yes
naive 16x16,1024,1024,1024,1.07213,2003.01,yes
shared 32x8 tk32,1024,1024,1024,0.924672,2322.43,yes
vectorized 32x8,1024,1024,1024,0.871424,2464.34,yes
vec-opt 64x64,1024,1024,1024,0.156672,13706.9,yes
tensorcore wmma16,1024,1024,1024,0.442368,4854.52,yes
naive 16x16,2048,2048,2048,6.22797,2758.5,yes
shared 32x8 tk32,2048,2048,2048,7.7015,2230.72,yes
vectorized 32x8,2048,2048,2048,6.8352,2513.44,yes
vec-opt 64x64,2048,2048,2048,1.04141,16496.8,yes
tensorcore wmma16,2048,2048,2048,3.31981,5174.96,yes
naive 16x16,4096,4096,4096,61.8927,2220.6,yes
shared 32x8 tk32,4096,4096,4096,60.1826,2283.7,yes
vectorized 32x8,4096,4096,4096,51.0577,2691.84,yes
vec-opt 64x64,4096,4096,4096,7.52947,18253.5,yes
tensorcore wmma16,4096,4096,4096,30.124,4562.44,yes
naive 16x16,256,256,256,0.183296,183.061,yes
shared 32x8 tk32,256,256,256,0.172032,195.048,yes
vectorized 32x8,256,256,256,0.18944,177.124,yes
vec-opt 64x64,256,256,256,0.079872,420.103,yes
tensorcore wmma16,256,256,256,0.130048,258.016,yes
naive 16x16,512,512,512,0.111616,2404.99,yes
shared 32x8 tk32,512,512,512,0.141312,1899.59,yes
vectorized 32x8,512,512,512,0.157696,1702.23,yes
vec-opt 64x64,512,512,512,0.044032,6096.37,yes
tensorcore wmma16,512,512,512,0.084992,3158.36,yes
naive 16x16,1024,1024,1024,1.03731,2070.24,yes
shared 32x8 tk32,1024,1024,1024,0.93184,2304.56,yes
vectorized 32x8,1024,1024,1024,0.872448,2461.45,yes
vec-opt 64x64,1024,1024,1024,0.151552,14169.9,yes
tensorcore wmma16,1024,1024,1024,0.444512,4831.1,yes
naive 16x16,2048,2048,2048,6.49421,2645.41,yes
shared 32x8 tk32,2048,2048,2048,7.67283,2239.05,yes
vectorized 32x8,2048,2048,2048,8.48685,2024.29,yes
vec-opt 64x64,2048,2048,2048,1.04346,16464.4,yes
tensorcore wmma16,2048,2048,2048,3.23795,5305.78,yes
naive 16x16,4096,4096,4096,51.361,2675.94,yes
shared 32x8 tk32,4096,4096,4096,59.1626,2323.07,yes
vectorized 32x8,4096,4096,4096,52.6582,2610.02,yes
vec-opt 64x64,4096,4096,4096,7.52845,18255.9,yes
tensorcore wmma16,4096,4096,4096,32.4217,4239.1,yes
naive 16x16,256,256,256,0.384,87.3813,yes
shared 32x8 tk32,256,256,256,0.118528,283.093,yes
vectorized 32x8,256,256,256,0.149504,224.438,yes
vec-opt 64x64,256,256,256,0.129024,260.063,yes
tensorcore wmma16,256,256,256,0.118784,282.483,yes
naive 16x16,512,512,512,0.110592,2427.26,yes
shared 32x8 tk32,512,512,512,0.130048,2064.13,yes
vectorized 32x8,512,512,512,0.157696,1702.23,yes
vec-opt 64x64,512,512,512,0.040896,6563.86,yes
tensorcore wmma16,512,512,512,0.083968,3196.88,yes
naive 16x16,1024,1024,1024,0.79872,2688.66,yes
shared 32x8 tk32,1024,1024,1024,0.928768,2312.19,yes
vectorized 32x8,1024,1024,1024,0.879616,2441.39,yes
vec-opt 64x64,1024,1024,1024,0.155648,13797.1,yes
tensorcore wmma16,1024,1024,1024,0.4432,4845.41,yes
naive 16x16,2048,2048,2048,8.65178,1985.7,yes
shared 32x8 tk32,2048,2048,2048,7.46906,2300.14,yes
vectorized 32x8,2048,2048,2048,6.88947,2493.64,yes
vec-opt 64x64,2048,2048,2048,1.03834,16545.6,yes
tensorcore wmma16,2048,2048,2048,3.73965,4593.98,yes
naive 16x16,4096,4096,4096,50.7924,2705.89,yes
shared 32x8 tk32,4096,4096,4096,58.2185,2360.74,yes
vectorized 32x8,4096,4096,4096,52.9471,2595.78,yes
vec-opt 64x64,4096,4096,4096,7.52742,18258.4,yes
tensorcore wmma16,4096,4096,4096,32.0196,4292.34,yes
naive 16x16,256,256,256,0.14832,226.23,yes
shared 32x8 tk32,256,256,256,0.101376,330.99,yes
